product_handle,state,rating,title,author,email,location,body,reply,created_at,replied_at
,published,5,Color: greenShoe Size: 36,B***k,user@example.mail,PL,"<p>Size 36 Shoes very cool. Lightweight, comfortable, well done.  Very fast shipping  Recommend</p><img src='https://ae01.alicdn.com/kf/U3b9581a8a4944e66af572cd240452fbbs.jpg'><img src='https://ae01.alicdn.com/kf/U207b40cf858b40e78e15fcd32571392a7.jpg'><img src='https://ae01.alicdn.com/kf/Uc90b88e6957c49e9b164961c5a21c7a1E.jpg'><img src='https://ae01.alicdn.com/kf/Uad157c99af354fc8a571726d02282738k.jpg'><img src='https://ae01.alicdn.com/kf/Uc13764ecd1274ff080b758e11faf3090X.jpg'><img src='https://ae01.alicdn.com/kf/U18ec40a929be4644858a9d9ef8814f98v.jpg'>","",11 Sep 2021 07:39,""
,published,5,Color: greenShoe Size: 42,R***r,user@example.mail,RU,"<p>У этого продавца обувь размер в размер. Беру 2ю пару - не разочарован. Продавца рекомендую. Трек отслеживается.</p><img src='https://ae01.alicdn.com/kf/Ue5003a96506e4c889864732cd7794e38R.jpg'><img src='https://ae01.alicdn.com/kf/Ua60d302840c64938b4ea9af244c7d07ay.jpg'><img src='https://ae01.alicdn.com/kf/U529e15ec6ee64ebc99b731e4ef6fc827d.jpg'><img src='https://ae01.alicdn.com/kf/Uc57af133aa7f4fb4a4d9d60e8281c42f2.jpg'>","",17 May 2021 09:19,""
,published,5,Color: greenShoe Size: 44,A***o,user@example.mail,RU,"<p>The parcel came quickly exactly a week. Sneakers look like quality. The size of the Wear 43 took with a margin of 44 and uncomplicated came up perfectly. How many will be worn I do not know the time will show. The seller is very pleased and recommend to everyone.</p><img src='https://ae01.alicdn.com/kf/U87dc8b7b78fb4412837121b37c47f294b.jpg'><img src='https://ae01.alicdn.com/kf/Udcc2c421b3334c11916c94c82c8c8e44z.jpg'>","",22 Jun 2021 10:59,""
,published,5,Color: greenShoe Size: 37,U***p,user@example.mail,US,"<p>arrived fast thx fits fine got 37 and i ware size 6 woman added an insole and there perfect.</p><img src='https://ae01.alicdn.com/kf/U1c5625e34a2847568e66bc6bc0dab3b1H.jpg'><img src='https://ae01.alicdn.com/kf/Ud2b1df95b8dc401cb240628459e5891cs.jpg'><img src='https://ae01.alicdn.com/kf/U90a235d5cf6d4336801bc142878e1514i.jpg'>","",07 Sep 2021 11:33,""
,published,5,Color: greenShoe Size: 39,A***a,user@example.mail,AM,"<p>Batinki excellent. masive. at its 25 cm length took 39. Fit perfectly</p><img src='https://ae01.alicdn.com/kf/U8b02968e4743456aac3f62b666547662M.jpg'><img src='https://ae01.alicdn.com/kf/U5c625c4a49cf48c69873a4d75a1c4f932.jpg'>","",17 Jul 2021 02:27,""
,published,5,Color: greenShoe Size: 43,H***r,user@example.mail,DZ,"<p>Amazing shoes. Fast shipping. Good seller</p><img src='https://ae01.alicdn.com/kf/Uc8a3d9a22c6a4a1fb22370e6ebd82395U.jpg'><img src='https://ae01.alicdn.com/kf/Ubf6a8c7a251c4458bcd577d0f4d7343ag.jpg'>","",14 Jul 2021 08:46,""
,published,5,Color: greenShoe Size: 43,E***a,user@example.mail,EE,"<p>Slightly larger than in the photo. The sole behind is very high. And so good sneakers. My husband is happy.</p><img src='https://ae01.alicdn.com/kf/U9c203531acf444ce9e502f50ddb5503df.jpg'>","",30 Apr 2021 22:01,""
,published,5,Color: greenShoe Size: 42,A***v,user@example.mail,RU,"<p>хорошее качество, на  ноге сидят удобно</p><img src='https://ae01.alicdn.com/kf/U4aa6924e91df42679599f6a401ca245f4.jpg'><img src='https://ae01.alicdn.com/kf/U5761e1abfb9444f09e2b0436bcb80acbW.jpg'><img src='https://ae01.alicdn.com/kf/U0ee0cbf87cf54d6a94bcb0907fbb5720s.jpg'>","",05 Sep 2021 14:58,""
,published,5,Color: 808-blackShoe Size: 46,J***r,user@example.mail,US,"<p>its perfect. matched the description. Arrived before time.</p><img src='https://ae01.alicdn.com/kf/Ud86adb50761f4aee98440c1038ce5afcO.jpg'><img src='https://ae01.alicdn.com/kf/U5760685dfa8747069f64babb4154ae24S.jpg'>","",04 Aug 2021 09:27,""
,published,5,Color: greenShoe Size: 44,N***v,user@example.mail,RU,"<p>Sneakers with a smell (maybe glue), on my 43 took the size 44, came up well, the insole is comfortable, very light</p><img src='https://ae01.alicdn.com/kf/Ua92c4dbccdcc4e778014245ae0de30e5z.jpg'>","",07 Jul 2021 20:03,""
