product_handle,state,rating,title,author,email,location,body,reply,created_at,replied_at
,published,5,Color: CSize: 90cm 39 leaves,D***c,user@example.mail,NL,"<p>It's OK for the price. Looks plastic and you need to work out how to get some volume, but it serves the purpose.</p><img src='https://ae01.alicdn.com/kf/Ud5f61f88373748d7a7a7bf34027b8bbds.jpg'><img src='https://ae01.alicdn.com/kf/Uc77e62a6a1f441e5bab21e2d57ff9152D.jpg'><img src='https://ae01.alicdn.com/kf/U94132bdfed19452997fa465ddf34d09aq.jpg'>","",17 Apr 2021 01:38,""
,published,5,Color: HSize: 90cm 39 leaves,F***f,user@example.mail,US,"<p>Shipping is supper fast, exactly samebas in description.</p><img src='https://ae01.alicdn.com/kf/U07694b570f3c48f083cba9bfcec81062v.jpg'>","",16 Sep 2021 00:34,""
,published,5,Color: ISize: 90cm 39 leaves,F***r,user@example.mail,FR,"<p>Really beautiful the worry without pot, neamoins I love</p><img src='https://ae01.alicdn.com/kf/U08e0d73ad7674eb193c137f7938167ca3.jpg'><img src='https://ae01.alicdn.com/kf/U6505e20774ea4e4e82cab3f8a94c6747M.jpg'>","",15 Apr 2021 09:17,""
,published,5,Color: FSize: 90cm 39 leaves,M***K,user@example.mail,RU,"<p>Прекрасная пальма! Обязательно закажу ещё. Большое спасибо продавцу, доставка молниеносная. Смотрится потрясающе! Распарю листья вообще будет  глаз не оторвать. Всем рекомендую. 10 звёзд.Благодарю сердечно, с наилучшими пожеланиями Ваш покупатель.</p><img src='https://ae01.alicdn.com/kf/Ue3f190f8f4d94600a7d88f5b25967707y.jpg'><img src='https://ae01.alicdn.com/kf/U4df29a189dda4939ad096df956bb1826W.jpg'>","",04 Jul 2021 12:09,""
,published,5,Color: CSize: 90cm 39 leaves,A***r,user@example.mail,IL,"<p>The palm tree is very beautiful, was well packed together with another product, came quickly, the seller is well, I recommend</p><img src='https://ae01.alicdn.com/kf/Ubfdcdc290c2749dc9a574aa810af3ab6l.jpg'><img src='https://ae01.alicdn.com/kf/U5c577131b0b140639caef32ae5cd6a39g.jpg'>","",13 May 2021 16:40,""
,published,5,Color: CSize: 90cm 39 leaves,S***z,user@example.mail,CL,"<p>Lego in an exact month. It looks nice and even though a few folded leaves came but you can't tell. And the seller sent fast and there was no need to contact him.</p><img src='https://ae01.alicdn.com/kf/U43dcec36fd344bcba5f52fc8d261acadY.jpg'><img src='https://ae01.alicdn.com/kf/U8cc80133ef1546c2b6e0313e33b7df1aG.jpg'>","",23 Jul 2021 20:50,""
,published,5,Color: HSize: 90cm 39 leaves,K***k,user@example.mail,NL,"<p>i absolutly love it!! it is worth the money,...fast delivery also..in 10 days. thank you seller</p><img src='https://ae01.alicdn.com/kf/U1c95c3415eb6423abcf4e220154ae03eT.jpg'><img src='https://ae01.alicdn.com/kf/U99a7a0bca156437e8b5640fbbc0ea7243.jpg'>","",31 May 2021 11:47,""
,published,5,Color: CSize: 90cm 39 leaves,M***o,user@example.mail,ES,"<p>Shipping very fast in less than 10 days to arrive. Good tracking and communication with seller. As described.</p><img src='https://ae01.alicdn.com/kf/Ue00204661aaa4cbda5a67bd5610323ffB.jpg'>","",08 Apr 2021 06:52,""
,published,5,Color: GSize: 90cm 39 leaves,AliExpress Shopper,user@example.mail,UK,"<p>Product arrived very quickly surprised when I saw the package and couldn't believe the tree was in there but once I opened it and positioned branches it looked just as description.  Very happy with them</p><img src='https://ae01.alicdn.com/kf/Ue15c787c5aed4cd29c88554709b888feO.jpg'><img src='https://ae01.alicdn.com/kf/Uad589a4e37e5414196e02d614209dd7b1.jpg'>","",03 May 2021 10:03,""
,published,5,Color: CSize: 90cm 39 leaves,V***s,user@example.mail,MY,"<p>I think it looks a little artificial but nonetheless still beautiful. You just have to adjust the leaves a bit more to make it look natural and then add in a cute pot and voilà! </p><img src='https://ae01.alicdn.com/kf/U254e85b66e2f4b66ad9599a83c04da77P.jpg'>","",02 Jul 2021 05:14,""
